"","kinds","efficiency","frequency","time","totaltime"
"564","dianfanguo",300,60,0.375,22.5
"565","dianfanguo",600,60,0.875,52.5
"566","diancilu",1250,60,0.375,22.5
"567","diancilu",400,60,0.375,22.5
"568","diancilu",1250,60,0.625,37.5
"569","diancilu",600,60,0.875,52.5
"570","diancilu",1500,90,0.375,33.75
"571","dianfanguo",1500,60,0.625,37.5
"572","diancilu",1250,60,0.875,52.5
"573","dianfanguo",1500,90,1.5,135
"574","diancilu",NA,90,0.625,56.25
"575","dianfanguo",1250,60,0.625,37.5
"576","dianfanguo",850,60,0.375,22.5
"577","diancilu",1500,60,0.25,15
"578","diancilu",1500,60,0.375,22.5
"579","diancilu",1250,90,0.625,56.25
"580","dianfanguo",600,60,0.375,22.5
"581","dianfanguo",400,60,0.375,22.5
"582","dianfanguo",NA,90,1.5,135
"583","diancilu",1500,90,0.375,33.75
"584","dianfanguo",300,30,0.375,11.25
"585","diancilu",1250,60,0.625,37.5
"586","diancilu",1500,90,0.625,56.25
"587","diancilu",300,60,0.625,37.5
"588","diancilu",NA,30,0.375,11.25
"589","diancilu",600,90,0.375,33.75
"590","dianfanguo",850,30,0.375,11.25
"591","diancilu",1500,90,0.875,78.75
"592","dianfanguo",400,90,0.375,33.75
"593","dianfanguo",NA,60,0.25,15
"594","gaoyaguo",850,60,0.625,37.5
"595","dianfanguo",400,90,0.625,56.25
"596","dianfanguo",600,90,0.375,33.75
"597","dianfanguo",300,60,0.625,37.5
"598","dianfanguo",600,30,0.875,26.25
"599","dianfanguo",400,60,0.625,37.5
"600","diancilu",1500,60,0.375,22.5
"601","dianfanguo",600,60,0.375,22.5
"602","dianfanguo",850,90,0.375,33.75
"603","dianfanguo",NA,60,0.625,37.5
"604","diancilu",1250,90,0.625,56.25
"605","dianfanguo",400,20,0.375,7.5
"606","dianfanguo",NA,12,0.875,10.5
"607","dianfanguo",600,60,0.875,52.5
"608","diancilu",1500,90,0.375,33.75
"609","dianfanguo",400,60,0.625,37.5
"610","diancilu",1250,60,0.625,37.5
"611","diancilu",1500,60,0.375,22.5
"612","dianshuihu",NA,90,0.25,22.5
"613","diancilu",1250,90,0.25,22.5
"614","dianshuihu",NA,90,0.25,22.5
"615","dianshuihu",1500,90,0.25,22.5
"616","diancilu",1500,30,0.625,18.75
"617","dianfanguo",1250,60,0.875,52.5
"618","dianfanguo",NA,60,0.625,37.5
"619","dianshuihu",NA,90,0.25,22.5
"620","dianfanguo",NA,60,0.625,37.5
"621","diancilu",600,30,0.375,11.25
"622","dianfanguo",1250,60,0.625,37.5
"623","diancilu",NA,60,0.625,37.5
"624","diancilu",1250,4,0.625,2.5
"625","diancilu",1500,30,0.625,18.75
"626","gaoyaguo",1250,30,0.625,18.75
"627","dianshuihu",1250,90,0.25,22.5
"628","dianfanguo",600,30,0.375,11.25
"629","diancilu",NA,20,0.375,7.5
"630","dianfanguo",400,60,0.625,37.5
"631","dianfanguo",NA,60,0.625,37.5
"632","diancilu",1250,60,0.375,22.5
"633","dianshuihu",NA,90,0.25,22.5
"634","dianshuihu",300,30,0.25,7.5
"635","dianfanguo",600,20,0.25,5
"636","dianfanguo",600,30,1.5,45
"637","diancilu",NA,60,1.5,90
"638","dianfanguo",600,60,0.375,22.5
"639","dianfanguo",NA,60,0.875,52.5
"640","dianfanguo",600,4,0.375,1.5
"641","diancilu",600,30,0.375,11.25
"642","gaoyaguo",NA,60,1.5,90
"643","diancilu",1500,90,1.5,135
"644","dianshuihu",300,90,1.5,135
"645","diancilu",1250,60,0.625,37.5
"646","diancilu",300,60,0.625,37.5
"647","dianfanguo",300,90,0.375,33.75
"648","dianfanguo",1250,90,0.375,33.75
